learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
14514.0,14514.0,69.63854614844864,13.933184009486114,-325.81212364535486,-526.5784794400791,12005.0,2509.0,68.66069217079695,67.56106802721605,31.339307829203722,32.43893197278397,0.9185934501237948,0.08140654987620533,4213.0,1.499813805E9
14515.0,14515.0,69.94216068696416,14.012783529462244,-325.8121236453552,-526.5784794400795,12006.0,2509.0,68.97408524908899,67.56106802721605,31.02591475091169,32.43893197278397,0.9185934501237948,0.08140654987620533,4214.0,1.499814034E9
14516.0,14516.0,70.24273908009452,14.091442151708073,-325.81212364535503,-526.5784794400797,12007.0,2509.0,69.2843443965981,67.56106802721605,30.71565560340257,32.43893197278397,0.9401106284720487,0.05988937152795117,4184.0,1.49986379E9
14517.0,14517.0,70.5403116892936,14.169172558166302,-325.812123645356,-526.5784794400809,12008.0,2509.0,69.59150095263215,67.56106802721605,30.408499047368544,32.43893197278397,0.9561428114235971,0.04385718857640277,4157.0,1.499875634E9
14518.0,14518.0,69.83490857240066,12.215851789820427,-284.3036206557426,-433.4555374935971,12008.0,2510.0,69.59150095263215,66.88545734693642,30.408499047368544,33.11454265306361,0.9574454137815048,0.042554586218495026,4156.0,1.499877079E9
14519.0,14519.0,69.13655948667665,11.676037104292343,-251.88880860299102,-451.31870156056556,12009.0,2510.0,68.89558594310581,66.88545734693642,31.104414056894868,33.11454265306361,0.9578709596436897,0.04212904035631008,4156.0,1.499878416E9
14520.0,14520.0,68.44519389180988,11.162775307070856,-263.4054520847729,-469.3623016282091,12010.0,2510.0,68.20663008367477,66.88545734693642,31.793369916325926,33.11454265306361,0.9578709596436897,0.04212904035631008,4157.0,1.49987848E9
14521.0,14521.0,68.7607419528918,14.188035292369177,-225.5359430303657,-381.5886372994034,12010.0,2511.0,68.20663008367477,67.2166027734707,31.793369916325926,32.783397226529345,0.9578709596436897,0.04212904035631008,4157.0,1.499878745E9
14522.0,14522.0,68.07313453336288,13.608411760695963,-204.0569269268225,-397.1604914150088,12011.0,2511.0,67.52456378283803,67.2166027734707,32.47543621716268,32.783397226529345,0.937533773604911,0.06246622639508899,4152.0,1.499892816E9
14523.0,14523.0,68.39240318802925,13.713471123215529,-204.0569269268229,-397.16049141500946,12012.0,2511.0,67.84931814500965,67.2166027734707,32.15068185499105,32.783397226529345,0.9393890829950715,0.060610917004928454,4154.0,1.499897204E9
14524.0,14524.0,68.70847915614897,13.817228492966885,-204.05692692682328,-397.1604914150105,12013.0,2511.0,68.17082496355955,67.2166027734707,31.829175036441136,32.783397226529345,0.9393890829950715,0.060610917004928454,4158.0,1.49989998E9
14525.0,14525.0,69.02139436458748,13.919702780549603,-204.05692692682368,-397.1604914150105,12014.0,2511.0,68.48911671392398,67.2166027734707,31.510883286076723,32.783397226529345,0.9393890829950715,0.060610917004928454,4159.0,1.499900209E9
14526.0,14526.0,68.3311804209416,13.347017192538303,-213.9711307044755,-413.3711085251157,12015.0,2511.0,67.80422554678472,67.2166027734707,32.19577445321596,32.783397226529345,0.9405952402434696,0.059404759756530374,4159.0,1.499900713E9
14527.0,14527.0,68.6478686167322,13.448268929680903,-213.9711307044756,-413.37110852511626,12016.0,2511.0,68.12618329131688,67.2166027734707,31.8738167086838,32.783397226529345,0.9398276562941578,0.06017234370584238,4146.0,1.499949782E9
14528.0,14528.0,68.96138993056489,13.548275336239577,-213.97113070447537,-413.3711085251175,12017.0,2511.0,68.44492145840371,67.2166027734707,31.555078541596966,32.783397226529345,0.9398276562941578,0.06017234370584238,4148.0,1.499951331E9
14529.0,14529.0,68.27177603125924,12.989309373227744,-224.18880976799275,-430.0779350910571,12018.0,2511.0,67.76047224381968,67.2166027734707,32.239527756181005,32.783397226529345,0.9139419727580153,0.08605802724198483,4146.0,1.499957142E9
14530.0,14530.0,67.58905827094665,12.456367807009995,-234.5096977109399,-446.9535174808969,12019.0,2511.0,67.08286752138149,67.2166027734707,32.9171324786192,32.783397226529345,0.9056545275001308,0.09434547249986934,4148.0,1.499958779E9
14531.0,14531.0,66.91316768823718,11.947957312061973,-244.9348370472498,-463.99956029891615,12020.0,2511.0,66.41203884616766,67.2166027734707,33.58796115383302,32.783397226529345,0.8975320024028781,0.10246799759712194,4148.0,1.499959839E9
14532.0,14532.0,66.24403601135481,11.462690777471636,-255.46528082130098,-481.21778536762304,12021.0,2511.0,65.74791845770599,67.2166027734707,34.2520815422947,32.783397226529345,0.8817686503555151,0.11823134964448494,4148.0,1.499962856E9
14533.0,14533.0,66.58159565124126,11.561213232713106,-255.46528082130106,-481.2177853676242,12022.0,2511.0,66.09043927312894,67.2166027734707,33.909560726871746,32.783397226529345,0.8817686503555151,0.11823134964448494,4150.0,1.499968259E9
14534.0,14534.0,66.91577969472885,11.658534711702025,-255.46528082130138,-481.21778536762514,12023.0,2511.0,66.42953488039765,67.2166027734707,33.57046511960303,32.783397226529345,0.8741214542134403,0.12587854578655971,4150.0,1.499972087E9
14535.0,14535.0,67.24662189778158,11.754672215014123,-255.46528082130163,-481.2177853676253,12024.0,2511.0,66.76523953159368,67.2166027734707,33.234760468406996,32.783397226529345,0.8741214542134403,0.12587854578655971,4151.0,1.499972616E9
