learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
41.0,41.0,48.480989627487844,0.0,-Infinity,-Infinity,41.0,0.0,48.480989627487844,0.0,51.51901037251216,0.0,0.9000056650952816,0.09999433490471792,1558.0,1.2318844E9
42.0,42.0,47.073053288715435,0.0,-Infinity,-Infinity,42.0,0.0,47.073053288715435,0.0,52.926946711284586,0.0,0.913130340250907,0.08686965974909257,1553.0,1.231955538E9
43.0,43.0,48.581384527139534,0.0,-Infinity,-Infinity,43.0,0.0,48.581384527139534,0.0,51.41861547286049,0.0,0.913130340250907,0.08686965974909257,1554.0,1.231961267E9
44.0,44.0,50.02011661169503,0.0,-Infinity,-Infinity,44.0,0.0,50.02011661169503,0.0,49.97988338830498,0.0,0.9148590464799139,0.08514095352008563,1559.0,1.231968649E9
45.0,45.0,48.64523697672597,-5.488654057415721,-1768.3608147617524,-1768.3608147617524,44.0,1.0,50.02011661169503,0.0,49.97988338830498,100.0,0.9148590464799139,0.08514095352008563,1559.0,1.231969102E9
46.0,46.0,50.032542254753274,-5.33247619961517,-829.4860334744387,-1768.3608147617513,45.0,1.0,51.39389037480222,0.0,48.606109625197774,100.0,0.9148590464799139,0.08514095352008563,1562.0,1.231971001E9
47.0,47.0,51.35978868963051,-5.1834917903208755,-829.4860334744383,-1768.3608147617483,46.0,1.0,52.706943117287885,0.0,47.293056882712115,100.0,0.9148590464799139,0.08514095352008563,1563.0,1.23197197E9
48.0,48.0,52.63073089713279,-5.041222052745706,-829.4860334744367,-1768.360814761743,47.0,1.0,53.96315153721689,0.0,46.03684846278311,100.0,0.9148590464799139,0.08514095352008563,1564.0,1.231977234E9
49.0,49.0,53.84881701249481,-4.9052297662502475,-829.4860334744351,-1768.3608147617495,48.0,1.0,55.16606929261866,0.0,44.83393070738134,100.0,0.8749508392489872,0.12504916075101247,1569.0,1.232035671E9
50.0,50.0,55.01721933840028,-4.775114853239801,-829.4860334744357,-1768.3608147617354,49.0,1.0,56.31895996469488,0.0,43.68104003530512,100.0,0.8749508392489872,0.12504916075101247,1570.0,1.232035708E9
